index,cds,rtype,sname,dname,cname,enroll12,NumTstTakr,AvgScrRead,AvgScrMath,AvgScrWrit,NumGE1500,PctGE1500,year,frpm_simulado,profes_simulado,Tasa_Participacion,Puntaje_Global,Categoria_Rendimiento,Radio_Alumno_Profesor,Excepcion_Positiva,Es_Alta_Vulnerabilidad,porcentaje_eligibilidad_comidas_gratuitas,NumTeachers,Nivel_Vulnerabilidad
0,0,X,,,,492835,214262,484.0,494.0,477.0,89840.0,41.93,1516,0.0,0,43.47540251808415,1455.0,Rendimiento Medio,4323.11,0,0,0.59,114,Media
1,1000000000000,C,,,ALAMEDA,16662,8611,517.0,534.0,515.0,4696.0,54.53,1516,0.0,0,51.68047053174889,1566.0,Alto Rendimiento,143.64,0,0,0.06,116,Baja
2,1100170000000,D,,ALAMEDA COUNTY OFFICE OF EDUCATION,ALAMEDA,263,95,395.0,378.0,388.0,6.0,6.32,1516,0.662820421010051,0,36.12167300380228,1161.0,Bajo Rendimiento / Riesgo,3.42,0,1,0.23,77,Baja
3,1100170112607,S,ENVISION ACADEMY FOR ARTS & TECHNOLOGY,ALAMEDA COUNTY OFFICE OF EDUCATION,ALAMEDA,88,92,391.0,376.0,386.0,5.0,5.43,1516,0.4121780831931537,4,100.0,1153.0,Bajo Rendimiento / Riesgo,2.05,0,0,0.12,43,Baja
4,1611190000000,D,,ALAMEDA UNIFIED,ALAMEDA,858,472,527.0,543.0,514.0,301.0,63.77,1516,0.4842616924468811,0,55.011655011655016,1584.0,Alto Rendimiento,7.46,0,0,0.74,115,Alta
5,1611190106401,S,ALAMEDA SCIENCE AND TECHNOLOGY INSTITUTE,ALAMEDA UNIFIED,ALAMEDA,37,35,572.0,612.0,530.0,30.0,85.71,1516,0.8155000144869413,2,94.5945945945946,1714.0,Alto Rendimiento,0.3,0,1,0.52,123,Media
7,1611190130229,S,ALAMEDA HIGH,ALAMEDA UNIFIED,ALAMEDA,381,255,539.0,562.0,533.0,180.0,70.59,1516,0.5690609389379256,18,66.92913385826772,1634.0,Alto Rendimiento,3.46,0,1,0.65,110,Media
8,1611190130609,S,ALAMEDA COMMUNITY LEARNING CENTER,ALAMEDA UNIFIED,ALAMEDA,52,46,538.0,539.0,516.0,30.0,65.22,1516,0.2592130483097055,2,88.46153846153845,1593.0,Alto Rendimiento,2.17,0,0,0.41,24,Media
9,1611190130625,S,ALTERNATIVES IN ACTION,ALAMEDA UNIFIED,ALAMEDA,31,17,366.0,365.0,359.0,0.0,0.0,1516,0.2591961642353418,1,54.83870967741935,1090.0,Bajo Rendimiento / Riesgo,0.63,0,0,0.37,49,Media
11,1611270000000,D,,ALBANY CITY UNIFIED,ALAMEDA,300,179,585.0,607.0,575.0,148.0,82.68,1516,0.7679829739879706,0,59.66666666666667,1767.0,Alto Rendimiento,4.35,1,1,0.15,69,Baja
12,1611270130450,S,ALBANY HIGH,ALBANY CITY UNIFIED,ALAMEDA,285,179,585.0,607.0,575.0,148.0,82.68,1516,0.7563233020424546,15,62.80701754385965,1767.0,Alto Rendimiento,2.59,0,1,0.03,110,Baja
13,1611430000000,D,,BERKELEY UNIFIED,ALAMEDA,922,542,561.0,559.0,553.0,357.0,65.87,1516,0.4260581116974795,0,58.78524945770065,1673.0,Alto Rendimiento,6.73,0,0,0.35,137,Media
14,1611430122697,S,REALM CHARTER HIGH,BERKELEY UNIFIED,ALAMEDA,77,38,453.0,429.0,425.0,8.0,21.05,1516,0.5707805082202462,2,49.35064935064935,1307.0,Bajo Rendimiento / Riesgo,2.96,0,1,0.43,26,Media
15,1611430131177,S,BERKELEY HIGH,BERKELEY UNIFIED,ALAMEDA,798,504,569.0,568.0,563.0,349.0,69.25,1516,0.6456508044572318,53,63.1578947368421,1700.0,Alto Rendimiento,44.33,0,1,0.35,18,Media
16,1611500000000,D,,CASTRO VALLEY UNIFIED,ALAMEDA,789,411,535.0,558.0,531.0,264.0,64.23,1516,0.206389211207884,0,52.09125475285171,1624.0,Alto Rendimiento,6.58,0,0,0.52,120,Media
17,1611500132225,S,CASTRO VALLEY HIGH,CASTRO VALLEY UNIFIED,ALAMEDA,702,410,534.0,558.0,531.0,263.0,64.15,1516,0.1644091460070617,43,58.4045584045584,1623.0,Alto Rendimiento,6.75,0,0,0.18,104,Baja
19,1611680000000,D,,EMERY UNIFIED,ALAMEDA,50,26,444.0,451.0,424.0,8.0,30.77,1516,0.5698052822193752,0,52.0,1319.0,Bajo Rendimiento / Riesgo,0.62,0,1,0.29,81,Baja
20,1611680132746,S,EMERY SECONDARY,EMERY UNIFIED,ALAMEDA,50,26,444.0,451.0,424.0,8.0,30.77,1516,0.7327098485602952,1,52.0,1319.0,Bajo Rendimiento / Riesgo,0.63,0,1,0.1,79,Baja
