index,cds,rtype,sname,dname,cname,enroll12,NumTstTakr,AvgScrRead,AvgScrMath,AvgScrWrit,NumGE1500,PctGE1500,year,frpm_simulado,profes_simulado,Tasa_Participacion,Puntaje_Global,Categoria_Rendimiento,Radio_Alumno_Profesor,Excepcion_Positiva,Es_Alta_Vulnerabilidad,Categoria_Visual
0,0,X,,,,492835,214262,488.45873731318557,492.1460539178762,477.0,89840.0,41.93,1516,0.49641170166245857,0,43.475402518084145,1455.0,Rendimiento Medio,,0,0,Promedio Estatal
1,1000000000000,C,,,ALAMEDA,16662,8611,517.0,534.0,515.0,4696.0,54.53,1516,0.0,0,51.68047053174889,1566.0,Alto Rendimiento,,0,0,
2,1100170000000,D,,ALAMEDA COUNTY OFFICE OF EDUCATION,ALAMEDA,263,95,395.0,378.0,388.0,6.0,6.32,1516,0.662820421010051,0,36.12167300380228,1161.0,Bajo Rendimiento / Riesgo,26.888888888888886,0,1,Distritos
3,1100170112607,S,ENVISION ACADEMY FOR ARTS & TECHNOLOGY,ALAMEDA COUNTY OFFICE OF EDUCATION,ALAMEDA,88,92,391.0,376.0,386.0,5.0,5.43,1516,0.41217808319315374,4,100.0,1153.0,Bajo Rendimiento / Riesgo,22.0,0,0,
4,1611190000000,D,,ALAMEDA UNIFIED,ALAMEDA,858,472,527.0,543.0,514.0,301.0,63.77,1516,0.48426169244688116,0,55.011655011655016,1584.0,Alto Rendimiento,25.84285714285714,0,0,Distritos
5,1611190106401,S,ALAMEDA SCIENCE AND TECHNOLOGY INSTITUTE,ALAMEDA UNIFIED,ALAMEDA,37,35,572.0,612.0,530.0,30.0,85.71,1516,0.8155000144869413,2,94.5945945945946,1714.0,Alto Rendimiento,18.5,0,1,
7,1611190130229,S,ALAMEDA HIGH,ALAMEDA UNIFIED,ALAMEDA,381,255,539.0,562.0,533.0,180.0,70.59,1516,0.5690609389379256,18,66.92913385826772,1634.0,Alto Rendimiento,21.166666666666668,0,1,
8,1611190130609,S,ALAMEDA COMMUNITY LEARNING CENTER,ALAMEDA UNIFIED,ALAMEDA,52,46,538.0,539.0,516.0,30.0,65.22,1516,0.25921304830970554,2,88.46153846153845,1593.0,Alto Rendimiento,26.0,0,0,
9,1611190130625,S,ALTERNATIVES IN ACTION,ALAMEDA UNIFIED,ALAMEDA,31,17,366.0,365.0,359.0,0.0,0.0,1516,0.25919616423534186,1,54.83870967741935,1090.0,Bajo Rendimiento / Riesgo,31.0,0,0,
11,1611270000000,D,,ALBANY CITY UNIFIED,ALAMEDA,300,179,585.0,607.0,575.0,148.0,82.68,1516,0.7679829739879706,0,59.66666666666667,1767.0,Alto Rendimiento,19.25,1,1,Distritos
12,1611270130450,S,ALBANY HIGH,ALBANY CITY UNIFIED,ALAMEDA,285,179,585.0,607.0,575.0,148.0,82.68,1516,0.7563233020424546,15,62.807017543859644,1767.0,Alto Rendimiento,19.0,0,1,
13,1611430000000,D,,BERKELEY UNIFIED,ALAMEDA,922,542,561.0,559.0,553.0,357.0,65.87,1516,0.4260581116974795,0,58.78524945770065,1673.0,Alto Rendimiento,26.9335949267477,0,0,Distritos
14,1611430122697,S,REALM CHARTER HIGH,BERKELEY UNIFIED,ALAMEDA,77,38,453.0,429.0,425.0,8.0,21.05,1516,0.5707805082202462,2,49.35064935064935,1307.0,Bajo Rendimiento / Riesgo,38.5,0,1,
15,1611430131177,S,BERKELEY HIGH,BERKELEY UNIFIED,ALAMEDA,798,504,569.0,568.0,563.0,349.0,69.25,1516,0.6456508044572318,53,63.1578947368421,1700.0,Alto Rendimiento,15.056603773584905,0,1,
16,1611500000000,D,,CASTRO VALLEY UNIFIED,ALAMEDA,789,411,535.0,558.0,531.0,264.0,64.23,1516,0.20638921120788403,0,52.09125475285171,1624.0,Alto Rendimiento,17.028816986855407,0,0,Distritos
17,1611500132225,S,CASTRO VALLEY HIGH,CASTRO VALLEY UNIFIED,ALAMEDA,702,410,534.0,558.0,531.0,263.0,64.15,1516,0.16440914600706172,43,58.4045584045584,1623.0,Alto Rendimiento,16.325581395348838,0,0,
19,1611680000000,D,,EMERY UNIFIED,ALAMEDA,50,26,444.0,451.0,424.0,8.0,30.77,1516,0.5698052822193752,0,52.0,1319.0,Bajo Rendimiento / Riesgo,41.666666666666664,0,1,Distritos
20,1611680132746,S,EMERY SECONDARY,EMERY UNIFIED,ALAMEDA,50,26,444.0,451.0,424.0,8.0,30.77,1516,0.7327098485602952,1,52.0,1319.0,Bajo Rendimiento / Riesgo,50.0,0,1,
21,1611760000000,D,,FREMONT UNIFIED,ALAMEDA,2548,1483,587.0,627.0,595.0,1151.0,77.61,1516,0.47384038307810483,0,58.202511773940344,1809.0,Alto Rendimiento,22.479753841088026,0,0,Distritos
22,1611760130062,S,AMERICAN HIGH,FREMONT UNIFIED,ALAMEDA,444,298,576.0,610.0,576.0,229.0,76.85,1516,0.2986373774747933,26,67.11711711711712,1762.0,Alto Rendimiento,17.076923076923077,0,0,
25,1611760134270,S,IRVINGTON HIGH,FREMONT UNIFIED,ALAMEDA,553,351,582.0,641.0,601.0,288.0,82.05,1516,0.3629695700716764,34,63.47197106690777,1824.0,Alto Rendimiento,16.264705882352942,0,0,
26,1611760134452,S,JOHN F. KENNEDY HIGH,FREMONT UNIFIED,ALAMEDA,369,171,484.0,492.0,473.0,67.0,39.18,1516,0.5173295021425665,13,46.34146341463415,1449.0,Rendimiento Medio,28.384615384615383,0,0,
28,1611760138693,S,WASHINGTON HIGH,FREMONT UNIFIED,ALAMEDA,425,203,540.0,564.0,531.0,130.0,64.04,1516,0.35386039813862935,23,47.76470588235294,1635.0,Alto Rendimiento,18.47826086956522,0,0,
29,1611920000000,D,,HAYWARD UNIFIED,ALAMEDA,1490,617,440.0,448.0,437.0,143.0,23.18,1516,0.5152059876519595,0,41.40939597315436,1325.0,Bajo Rendimiento / Riesgo,22.586879971879974,0,0,Distritos
30,1611920108670,S,LEADERSHIP PUBLIC SCHOOLS - HAYWARD,HAYWARD UNIFIED,ALAMEDA,113,105,444.0,467.0,446.0,31.0,29.52,1516,0.5782970263056656,6,92.92035398230088,1357.0,Bajo Rendimiento / Riesgo,18.833333333333332,0,1,
31,1611920113902,S,IMPACT ACADEMY OF ARTS & TECHNOLOGY,HAYWARD UNIFIED,ALAMEDA,108,103,437.0,437.0,430.0,18.0,17.48,1516,0.24764570245642928,6,95.37037037037037,1304.0,Bajo Rendimiento / Riesgo,18.0,0,0,
33,1611920133629,S,HAYWARD HIGH,HAYWARD UNIFIED,ALAMEDA,342,125,442.0,441.0,434.0,28.0,22.4,1516,0.4064532903055842,20,36.54970760233918,1317.0,Bajo Rendimiento / Riesgo,17.1,0,0,
34,1611920135319,S,MT. EDEN HIGH,HAYWARD UNIFIED,ALAMEDA,430,200,442.0,454.0,441.0,48.0,24.0,1516,0.46924898895192513,15,46.51162790697674,1337.0,Bajo Rendimiento / Riesgo,28.666666666666668,0,0,
35,1611920138339,S,TENNYSON HIGH,HAYWARD UNIFIED,ALAMEDA,307,84,433.0,432.0,430.0,18.0,21.43,1516,0.6996231729751095,11,27.36156351791531,1295.0,Bajo Rendimiento / Riesgo,27.90909090909091,0,1,
36,1612000000000,D,,LIVERMORE VALLEY JOINT UNIFIED,ALAMEDA,1076,513,544.0,551.0,540.0,344.0,67.06,1516,0.36932811100932855,0,47.67657992565056,1635.0,Alto Rendimiento,24.231428312065567,0,0,Distritos
37,1612000120931,S,LIVERMORE VALLEY CHARTER PREPARATORY HIGH,LIVERMORE VALLEY JOINT UNIFIED,ALAMEDA,93,68,522.0,501.0,511.0,33.0,48.53,1516,0.2897716475108518,4,73.11827956989248,1534.0,Rendimiento Medio,23.25,0,0,
39,1612000133397,S,GRANADA HIGH,LIVERMORE VALLEY JOINT UNIFIED,ALAMEDA,473,239,545.0,561.0,544.0,163.0,68.2,1516,0.5646901982034297,18,50.52854122621564,1650.0,Alto Rendimiento,26.27777777777778,0,1,
40,1612000134536,S,LIVERMORE HIGH,LIVERMORE VALLEY JOINT UNIFIED,ALAMEDA,405,204,551.0,555.0,545.0,147.0,72.06,1516,0.1825152889039984,21,50.37037037037037,1651.0,Alto Rendimiento,19.285714285714285,0,0,
41,1612340000000,D,,NEWARK UNIFIED,ALAMEDA,517,193,486.0,492.0,476.0,81.0,41.97,1516,0.6028750291923554,0,37.33075435203095,1454.0,Rendimiento Medio,23.094771241830063,0,1,Distritos
42,1612340130054,S,NEWARK MEMORIAL HIGH,NEWARK UNIFIED,ALAMEDA,444,193,486.0,492.0,476.0,81.0,41.97,1516,0.5752813963310068,24,43.468468468468465,1454.0,Rendimiento Medio,18.5,0,1,
44,1612420000000,D,,NEW HAVEN UNIFIED,ALAMEDA,1132,438,495.0,518.0,488.0,207.0,47.26,1516,0.7034299778711833,0,38.69257950530035,1501.0,Rendimiento Medio,22.630116959064328,0,1,Distritos
46,1612420134668,S,JAMES LOGAN HIGH,NEW HAVEN UNIFIED,ALAMEDA,920,438,495.0,518.0,488.0,207.0,47.26,1516,0.8142198760773333,57,47.608695652173914,1501.0,Rendimiento Medio,16.140350877192983,0,1,
47,1612590000000,D,,OAKLAND UNIFIED,ALAMEDA,3020,1598,436.0,443.0,436.0,402.0,25.16,1516,0.4644566870909484,0,52.913907284768214,1315.0,Bajo Rendimiento / Riesgo,27.890828738069786,0,0,Distritos
48,1612590100065,S,OAKLAND UNITY HIGH,OAKLAND UNIFIED,ALAMEDA,66,51,386.0,423.0,407.0,6.0,11.76,1516,0.8259424231521916,3,77.27272727272727,1216.0,Bajo Rendimiento / Riesgo,22.0,0,1,
49,1612590100701,S,METWEST HIGH,OAKLAND UNIFIED,ALAMEDA,41,36,399.0,388.0,386.0,4.0,11.11,1516,0.7158781436815228,1,87.8048780487805,1173.0,Bajo Rendimiento / Riesgo,41.0,0,1,
50,1612590106906,S,BAY AREA TECHNOLOGY,OAKLAND UNIFIED,ALAMEDA,23,21,373.0,397.0,384.0,1.0,4.76,1516,0.36322963842135947,0,91.30434782608695,1154.0,Bajo Rendimiento / Riesgo,,0,0,
51,1612590108944,S,LIGHTHOUSE COMMUNITY CHARTER HIGH,OAKLAND UNIFIED,ALAMEDA,59,62,430.0,463.0,433.0,11.0,17.74,1516,0.2183704798044687,1,100.0,1326.0,Bajo Rendimiento / Riesgo,59.0,0,0,
52,1612590110189,S,MCCLYMONDS HIGH,OAKLAND UNIFIED,ALAMEDA,57,37,380.0,359.0,360.0,2.0,5.41,1516,0.6289631185585098,2,64.91228070175438,1099.0,Bajo Rendimiento / Riesgo,28.5,0,1,
53,1612590111856,S,AMERICAN INDIAN PUBLIC HIGH,OAKLAND UNIFIED,ALAMEDA,29,32,531.0,589.0,534.0,20.0,62.5,1516,0.4581067456177209,1,100.0,1654.0,Alto Rendimiento,29.0,0,0,
54,1612590112797,S,COLISEUM COLLEGE PREP ACADEMY,OAKLAND UNIFIED,ALAMEDA,61,46,380.0,407.0,397.0,2.0,4.35,1516,0.23542676439134516,2,75.40983606557377,1184.0,Bajo Rendimiento / Riesgo,30.5,0,0,
55,1612590114868,S,OAKLAND CHARTER HIGH,OAKLAND UNIFIED,ALAMEDA,66,64,474.0,551.0,488.0,35.0,54.69,1516,0.49662383707788915,3,96.96969696969697,1513.0,Rendimiento Medio,22.0,0,0,
56,1612590115238,S,ARISE HIGH,OAKLAND UNIFIED,ALAMEDA,53,47,378.0,379.0,394.0,2.0,4.26,1516,0.17407196478065287,2,88.67924528301887,1151.0,Bajo Rendimiento / Riesgo,26.5,0,0,
58,1612590115667,S,OAKLAND INTERNATIONAL HIGH,OAKLAND UNIFIED,ALAMEDA,82,29,310.0,329.0,328.0,0.0,0.0,1516,0.33114598712001186,3,35.36585365853659,967.0,Bajo Rendimiento / Riesgo,27.333333333333332,0,0,
